"DateTime","Hagar Verð ","Hagar Magn"
"2016-05-13 18:00:00",49,13333223
"2016-05-17 18:00:00",48.2,1803678
"2016-05-18 18:00:00",48.4,8463592
"2016-05-19 18:00:00",47.35,3390000
"2016-05-20 18:00:00",47.35,2638214
"2016-05-23 18:00:00",47.8,8999000
"2016-05-24 18:00:00",48.4,4814000
"2016-05-25 18:00:00",48,6657008
"2016-05-26 18:00:00",48.35,3732002
"2016-05-27 18:00:00",48.35,4575980
"2016-05-30 18:00:00",48.1,2749150
"2016-05-31 18:00:00",48,6289054
"2016-06-01 18:00:00",48.5,1823027
"2016-06-02 18:00:00",48.1,715900
"2016-06-03 18:00:00",47.5,4038409
"2016-06-06 18:00:00",45.65,22386743
"2016-06-07 18:00:00",45,4217822
"2016-06-08 18:00:00",44.05,7594000
"2016-06-09 18:00:00",43.9,117977
"2016-06-10 18:00:00",44.55,4738400
"2016-06-13 18:00:00",44.1,99000
"2016-06-14 18:00:00",44.65,42202
"2016-06-15 18:00:00",45.5,4194925
"2016-06-16 18:00:00",47,3220000
"2016-06-20 18:00:00",47,1052727
"2016-06-21 18:00:00",48,5698247
"2016-06-22 18:00:00",47.65,1100000
"2016-06-23 18:00:00",47.65,0
"2016-06-24 18:00:00",46.7,2096200
"2016-06-27 18:00:00",45,5641000
"2016-06-28 18:00:00",46.3,5578950
"2016-06-29 18:00:00",46.95,5759984
"2016-06-30 18:00:00",47.7,19408037
"2016-07-01 18:00:00",47.8,15338140
"2016-07-04 18:00:00",47,1106384
"2016-07-05 18:00:00",46.9,139356
"2016-07-06 18:00:00",46.75,1023279
"2016-07-07 18:00:00",46.7,5000000
"2016-07-08 18:00:00",46.7,2550000
"2016-07-11 18:00:00",46.85,2062991
"2016-07-12 18:00:00",46.9,2827606
"2016-07-13 18:00:00",47.15,4197138
"2016-07-14 18:00:00",47.475,1700000
"2016-07-15 18:00:00",47.8,6062000
"2016-07-18 18:00:00",47.7,3322081
"2016-07-19 18:00:00",48.1,1521039
"2016-07-20 18:00:00",47.5,1000000
"2016-07-21 18:00:00",47.5,0
"2016-07-22 18:00:00",47.6,79892
"2016-07-25 18:00:00",47.15,377320
"2016-07-26 18:00:00",47.1,1735000
"2016-07-27 18:00:00",47.15,1000000
